author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
location.;real_estate_agent;https://www.cian.ru/rent/flat/313914577/;Москва;rent;flat;12;14;4;75.0;250000;0;Замоскворечье; Бахрушина;4С1;Новокузнецкая
Ирина Титова;realtor;https://www.cian.ru/rent/flat/312633631/;Москва;rent;flat;30;78;2;65.0;279999;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/313975398/;Москва;rent;flat;33;33;2;38.0;80000;0;Очаково-Матвеевское; Малая Очаковская;4Ак2;Озёрная
ID 20882646;homeowner;https://www.cian.ru/rent/flat/279939745/;Москва;rent;flat;15;16;3;120.0;199000;0;Филевский парк;Кастанаевская ;17;Филёвский парк
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/306037235/;Москва;rent;flat;76;79;4;244.0;2100000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Ма-Трёшка;real_estate_agent;https://www.cian.ru/rent/flat/311745220/;Москва;rent;flat;10;17;1;42.3;55000;0;; Лазурная;1;Коммунарка
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313251437/;Москва;rent;flat;27;42;3;110.0;250000;0;Раменки;Мосфильмовская ;70к3;Ломоносовский проспект
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313036861/;Москва;rent;flat;5;6;-1;80.0;300000;0;Беговой; 3-я Ямского Поля;9;Белорусская
Ма-Трёшка;real_estate_agent;https://www.cian.ru/rent/flat/313853425/;Москва;rent;flat;1;18;1;25.0;52000;0;; Александры Монаховой;84к1;Потапово
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313089613/;Москва;rent;flat;3;13;3;65.0;135600;0;Лефортово;шоссе Энтузиастов;3к1;Москва-Товарная
Ирина Титова;realtor;https://www.cian.ru/rent/flat/314038366/;Москва;rent;flat;25;78;2;63.0;299999;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Ма-Трёшка;real_estate_agent;https://www.cian.ru/rent/flat/312100107/;Москва;rent;flat;16;21;-1;21.0;53000;0;Войковский;Выборгская ;9/1;Водный стадион
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/311505548/;Москва;rent;flat;57;75;2;105.0;350000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313739427/;Москва;rent;flat;6;25;2;35.0;65000;0;Текстильщики;1-й Грайвороновский проезд;3Ак2;Текстильщики
ID 159179;unknown;https://www.cian.ru/rent/flat/313924444/;Москва;rent;flat;2;9;1;35.0;60000;0;Коньково; Генерала Антонова;2;Беляево
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313540882/;Москва;rent;flat;10;20;2;58.4;80000;0;Марьино;Братиславская ;22;Братиславская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312380305/;Москва;rent;flat;54;75;4;201.0;900000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312514493/;Москва;rent;flat;13;15;1;28.0;36800;0;; Логинова;7к2;Щербинка
