author_type,floor,floors_count,rooms_count,total_meters,price_per_month,district,street,underground
real_estate_agent,2,5,1,30.0,65000,Академический, Кржижановского,Профсоюзная
real_estate_agent,8,19,2,50.0,100000,Покровское-Стрешнево,Волоколамское шоссе,Трикотажная
real_estate_agent,4,19,2,57.0,100000,Солнцево,Производственная ,Солнцево
unknown,11,14,1,40.1,56000,Царицыно,Кантемировская ,Кантемировская
real_estate_agent,9,16,1,19.0,65000,Даниловский, Архитектора Щусева,ЗИЛ
unknown,2,33,2,38.0,125000,Хорошево-Мневники,Причальный проезд,Шелепиха
real_estate_agent,2,6,2,43.0,87990,Даниловский,Автозаводская ,ЗИЛ
realtor,19,36,2,55.0,160000,Хорошево-Мневники,Шелепихинская набережная,Шелепиха
real_estate_agent,10,12,3,110.0,700000,Хамовники, Ефремова,Фрунзенская
real_estate_agent,9,32,1,27.0,60000,Нижегородский,Газгольдерная ,Нижегородская
real_estate_agent,4,30,1,30.0,75000,Пресненский,Шмитовский проезд,Шелепиха
real_estate_agent,6,9,2,62.0,350000,Тверской,1-я Тверская-Ямская ,Маяковская
real_estate_agent,7,7,4,150.0,500000,Арбат,Трубниковский переулок,Смоленская
real_estate_agent,11,13,2,62.0,280000,Пресненский,Большая Садовая ,Маяковская
homeowner,19,20,2,75.0,130000,Обручевский, Новаторов,Новаторская
real_estate_agent,2,7,4,90.0,260000,Пресненский,Богословский переулок,Тверская
real_estate_agent,2,6,4,160.0,900000,Хамовники,переулок Коробейников,Парк Культуры
realtor,19,33,2,38.0,75000,Нижегородский,Новохохловская ,Калитники
real_estate_agent,28,78,2,60.0,230000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
real_estate_agent,2,15,1,33.0,99500,Хорошевский,Ходынский бульвар,ЦСКА
real_estate_agent,4,13,2,92.0,400000,Арбат, Новый Арбат,Смоленская
real_estate_agent,3,5,4,103.0,310000,Мещанский,переулок Пушкарев,Сухаревская
real_estate_agent,5,9,3,80.0,150000,Ломоносовский, Марии Ульяновой,Новаторская
real_estate_agent,16,18,5,329.0,600000,Якиманка, Шаболовка,Шаболовская
real_estate_agent,3,8,5,220.0,700000,Хамовники,1-й Зачатьевский переулок,Парк Культуры
real_estate_agent,1,3,3,163.0,800000,Хамовники,2-й Зачатьевский переулок,Кропоткинская
real_estate_agent,10,10,4,250.0,1600000,Тверской, Фадеева,Новослободская
real_estate_agent,9,14,1,26.0,50000,Молжаниновский,Ленинградское шоссе,Химки
real_estate_agent,5,14,1,45.0,55000,Братеево,Алма-Атинская ,Алма-Атинская
real_estate_agent,3,10,1,50.0,250000,Басманный,Чистопрудный бульвар,Чистые пруды
real_estate_agent,3,9,4,135.0,325000,Тверской,1-я Тверская-Ямская ,Белорусская
real_estate_agent,4,39,3,94.0,330000,Раменки,Минская ,Минская
real_estate_agent,1,37,4,130.0,370000,Хорошево-Мневники,Шелепихинская набережная,Шелепиха
real_estate_agent,3,18,3,103.0,400000,Пресненский,2-я Звенигородская ,Улица 1905 года
real_estate_agent,8,9,2,65.0,450000,Тверской,1-я Тверская-Ямская ,Маяковская
real_estate_agent,7,16,2,200.0,450000,Арбат, Новый Арбат,Смоленская
real_estate_agent,3,4,4,154.0,500000,Арбат,Староконюшенный переулок,Кропоткинская
real_estate_agent,3,27,5,220.0,550000,Щукино, Маршала Соколовского,Октябрьское поле
real_estate_agent,21,22,5,315.0,750000,Хорошево-Мневники, Демьяна Бедного,Народное Ополчение
real_estate_agent,2,2,3,180.0,780000,Покровское-Стрешнево,Ленинградское шоссе,Балтийская
real_estate_agent,3,6,3,145.0,1300000,Хамовники,Курсовой переулок,Кропоткинская
real_estate_agent,2,9,4,162.0,1700000,Арбат, Малая Молчановка,Арбатская
real_estate_agent,15,21,2,60.0,220000,Пресненский,2-я Черногрязская ,Улица 1905 года
real_estate_agent,47,85,2,62.0,250000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
real_estate_agent,58,69,2,52.0,210000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
real_estate_agent,8,18,2,70.0,200000,Беговой,Ленинградский проспект,Динамо
real_estate_agent,81,95,2,85.0,270000,Пресненский,набережная Пресненская,Деловой центр
real_estate_agent,48,78,2,67.0,250000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
real_estate_agent,7,9,1,18.0,39800,Старое Крюково,Зеленоград,Зеленоград — Крюково
real_estate_agent,38,78,2,69.4,250000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
real_estate_agent,50,85,2,92.0,270000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
real_estate_agent,4,9,1,40.0,65000,Лефортово,Красноказарменная ,Авиамоторная
real_estate_agent,14,14,2,124.0,400000,Дорогомилово,набережная Тараса Шевченко,Киевская
real_estate_agent,29,75,2,105.0,300000,Пресненский,набережная Пресненская,Деловой центр
realtor,9,13,1,35.0,75000,Филевский парк, Василисы Кожиной,Парк Победы
real_estate_agent,5,46,3,65.0,170000,Даниловский,Дубининская ,Павелецкая
real_estate_agent,3,13,3,149.2,299999,Тверской,Долгоруковская ,Новослободская
real_estate_agent,2,5,3,116.0,320000,Дорогомилово,Студенческая ,Студенческая
real_estate_agent,2,6,1,40.0,80000,Аэропорт, Усиевича,Аэропорт
real_estate_agent,9,20,2,65.0,210000,Беговой,Бумажный проезд,Белорусская
